city_ascii,country,lat,lng,tasmax_thresh,pr_thresh
Tokyo,Japan,35.6897,139.6922,33.394143066406286,48.17222070693964
Jakarta,Indonesia,-6.175,106.8275,37.676044616699244,26.906270524486864
Delhi,India,28.61,77.23,42.77027954101567,82.71746443212028
Guangzhou,China,23.13,113.26,36.028766784667994,42.438745519146295
Mumbai,India,19.0761,72.8775,38.621783752441445,164.09270681440833
Manila,Philippines,14.5958,120.9772,32.41062194824224,66.41512256115686
Shanghai,China,31.1667,121.4667,34.6388543701172,47.1485903207212
Sao Paulo,Brazil,-23.55,-46.6333,33.87729064941281,31.961780394427514
Seoul,South Korea,37.56,126.99,32.70057525634769,75.64307401701808
Mexico City,Mexico,19.4333,-99.1333,34.96348358154302,28.746808117255586
Cairo,Egypt,30.0444,31.2358,39.78677734375003,10.25826323311776
New York,United States,40.6943,-73.9249,34.05532257080043,49.64368541724982
Dhaka,Bangladesh,23.7639,90.3889,37.85665405273437,87.13933825492859
Beijing,China,39.904,116.4075,38.127477111816404,37.771277801133685
Kolkata,India,22.5675,88.37,40.71539764404298,57.332301579415784
Bangkok,Thailand,13.7525,100.4942,41.91040802001953,27.758887203410264
Shenzhen,China,22.535,114.054,34.67400390625005,53.249935219064575
Moscow,Russia,55.7558,37.6178,30.87306732177734,20.04813573835418
Buenos Aires,Argentina,-34.5997,-58.3819,35.95529876708986,65.66775888204582
Lagos,Nigeria,6.455,3.3841,40.75490722656252,30.30025118496269
Istanbul,Turkey,41.0136,28.955,34.08978302001958,33.184076872654266
Karachi,Pakistan,24.86,67.01,38.35822601318364,89.34256307780741
Bangalore,India,12.9789,77.5917,37.81004150390629,63.689672749489596
Ho Chi Minh City,Vietnam,10.7756,106.7019,40.50699035644533,35.861210335045925
Osaka,Japan,34.6939,135.5022,36.70271270751954,51.27303209155795
Chengdu,China,30.66,104.0633,34.574310607910206,24.580744388513313
Tehran,Iran,35.6892,51.3889,41.7988269042969,28.43593010120094
Kinshasa,Congo (Kinshasa),-4.325,15.3222,35.73893859863284,34.625728628598125
Rio de Janeiro,Brazil,-22.9111,-43.2056,34.87061370849098,28.783274651505053
Chennai,India,13.0825,80.275,39.9281549072266,59.096847429871566
Xi'an,China,34.2667,108.9,38.00679748535157,34.83558129239814
